A Digital Hardware Implementation for A new Mixed-Order Nonlinear 3-D Chaotic System,Elsafty A.H. ,"Nile University, Nanoelectronics Integrated Systems Center (NISC), Giza,",57202986074,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57202986074&zone=,"Elsafty, Abdulaziz H.","Elsafty, Abdulaziz H. ; ElSafty, Abdulaziz H. ; Elsafty, Abdulaziz H."
Hyperchaos and adaptive control of a novel hyperchaotic system with two quadratic nonlinearities, Azar A.T. ,"Nanoelectronics Integrated Systems Center (NISC), Nile University, Cairo,",57208175025,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57208175025&zone=,"Azar, Ahmad Taher","Azar, Ahmad Taher ; Azar, Ahmad T. ; Azar, A. T. ; Azar, Ahmed Taher ; Taher Azar, Ahmad"
Log-domain implementation of fractional-order element emulators, Radwan A.G. ,"NISC Research Center, Nile University,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
Mechanical behavior optimization of chitosan extracted from shrimp shells as a sustainable material for shopping bags, Elhussieny A. ,"Centre of Nano-science and technology (CNT), The Nile University, Nile Avenue, Giza, 116453,",57205555543,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57205555543&zone=,"ElHussieny, Amal","ElHussieny, Amal ; Elhussieny, A. ; ElHussieny, A. ; Elhussieny, Amal"
Memristor FPGA IP core implementation for analog and digital applications, Madian A.H. ,"Nanoelectronics Integrated Systems Center, Nile University, Cairo, 11451,",15049578500,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15049578500&zone=,"Madian, Ahmed H.","Madian, Ahmed H. ; Madian, Ahmed H. ; Madian, Ahmed ; Madian, A. H. ; Madian, A. ; Madian, Ahmed Hassan"
Memristor FPGA IP core implementation for analog and digital applications, Radwan A.G. ,"Nanoelectronics Integrated Systems Center, Nile University, Cairo, 11451,",7103379659,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7103379659&zone=,"Radwan, Ahmed","Radwan, Ahmed ; Radwan, Ahmed G. ; Radwan, Ahmed Gomaa ; Radwan, A. G. ; Radwan, A. ; Ahmed, A. G. ; Radwan, Ahmad G."
On power control and frequency reuse in the two user cognitive channel, El Gamal H. ,"El Gamal, H., Wireless Intelligent Networks Center (WINC), Nile University, Cairo,",7005365875,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7005365875&zone=,"El-Gamal, Hesham","El-Gamal, Hesham ; El Gamal, H. ; El Gamal, Hesham ; Gamal, Hesham El ; Gamal, H. El"
Organizational risk assessment based on attacks repetition, Nagy S. ,"Nile University, Cairo,",55490538400,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55490538400&zone=,"Nagy, Sherif","Nagy, Sherif"
"Remote Diagnosis, Maintenance and Prognosis for Advanced Driver Assistance Systems Using Machine Learning Algorithms", Diab M. ,"Nile University,",55613514700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=55613514700&zone=,"Diab, Mohammed","Diab, Mohammed"
Space-time coding for an energy harvesting cooperative secondary terminal,El Shafie A. ,"El Shafie, A., Wireless Intelligent Networks Center, Nile University, Giza, 12677,",57201193426,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201193426&zone=,"El Shafie, Ahmed","El Shafie, Ahmed"
Sparse spectrum sensing in infrastructure-less cognitive radio networks via binary consensus algorithms,Seif M. ,"Wireless Intelligent Networks Center (WINC), Nile University,",56808986000,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56808986000&zone=,"Seif, Mohamed","Seif, Mohamed"
Ternary Functions Design Using Memristive Threshold Logic, Madian A.H. ,"Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588,",15049578500,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=15049578500&zone=,"Madian, Ahmed H.","Madian, Ahmed H. ; Madian, Ahmed H. ; Madian, Ahmed ; Madian, A. H. ; Madian, A. ; Madian, Ahmed Hassan"
The deterministic capacity of relay networks with relay private messages,Zewail A.A. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",56419515700,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56419515700&zone=,"Zewail, Ahmed A.","Zewail, Ahmed A."
Towards Extended Bit Tracking for Scalable and Robust RFID Tag Identification Systems,Fahim A. ,"Wireless Intelligent Networks Center, Nile University, Giza, 12585,",57188723768,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57188723768&zone=,"Fahim, Abdulrahman","Fahim, Abdulrahman"
Towards mature temporal accuracy assessment of processors models and simulators for real-time systems development, Allam M. ,"School of CIT, Nile University, Cairo,",7004668825,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=7004668825&zone=,"Allam, Mahmoud","Allam, Mahmoud ; Alam, Mahmoud ; Allam, M. E. ; Allam, Mahmoud E."
Towards optimal power control for delay-constrained cognitive radio networks,Abdalla I. ,"Wireless Intelligent Networks Center (WINC), Nile University, Giza,",56597766600,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56597766600&zone=,"Abdalla, Iman","Abdalla, Iman"
Modelling of Continuum Robotic Arm Using Artificial Neural Network (ANN), Abbas A.A. ,"Nile University, School of Engineering and Applied Sciences, Giza,",57212313265,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57212313265&zone=,"Abbas, Ahmed Ashraf","Abbas, Ahmed Ashraf"
Experimental Kinematic Modeling of 6-DOF Serial Manipulator Using Hybrid Deep Learning, Abbas N.E. ,"Smart Engineering Systems Research Center (SESC), Nile University, Sheikh Zayed City, Giza, 12588,",57216273014,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57216273014&zone=,"Abbas, Nada Elsayed","Abbas, Nada Elsayed"
Advanced materials and technologies for supercapacitors used in energy conversion and storage: a review, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Aggrandize efficiency of ultra-thin silicon solar cell via topical clustering of silver nanoparticles, Elkodous M.A. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed,16453 Giza, Cairo,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Carbon-dot-loaded CoxNi1−xFe2O4; x = 0.9/SiO2/TiO2 nanocomposite with enhanced photocatalytic and antimicrobial potential: An engineered nanocomposite for wastewater treatment,Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza  16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
CdS nanowires encapsulated liquid crystal in-plane switching of LCD device, Elkodous M.A. ,"School of Engineering and Applied Sciences, Center for Nanotechnology (CNT), Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Controllable synthesis of Co1−x MxFe2O4 nanoparticles (M = Zn, Cu, and Mn; x = 0.0 and 0.5) by cost-effective sol–gel approach: analysis of structure, elastic, thermal, and magnetic properties", Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza  16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Cutting edge development on graphene derivatives modified by liquid crystal and CdS/TiO2 hybrid matrix: optoelectronics and biotechnological aspects, Elkodous M.A. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Engineered nanomaterials as fighters against SARS-CoV-2: The way to control and treat pandemics,Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Engineered Nanomaterials as Potential Candidates for HIV Treatment: Between Opportunities and Challenges,Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Science, Nile University, Sheikh Zayed, Giza  16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Fabrication of Ultra-Pure Anisotropic Zinc Oxide Nanoparticles via Simple and Cost-Effective Route: Implications for UTI and EAC Medications,Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Science, Nile University, Sheikh Zayed, Giza  16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Fabrication, Characterization and Optical Investigation of Semi-organic Nonlinear Alanine Hippurate Single Crystals", Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Factorial design-optimized and gamma irradiation-assisted fabrication of selenium nanoparticles by chitosan and Pleurotus ostreatus fermented fenugreek for a vigorous in vitro effect against carcinoma cells, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Growth dynamics of CBD-assisted CuS nanostructured thin-film: optical, dielectric and novel switchable device applications", Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Gum Arabic polymer-stabilized and Gamma rays-assisted synthesis of bimetallic silver-gold nanoparticles: Powerful antimicrobial and antibiofilm activities against pathogenic microbes isolated from diabetic foot patients, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Layer-by-layer preparation and characterization of recyclable nanocomposite (CoxNi1−xFe2O4; X = 0.9/SiO2/TiO2),Elkodous M.A. ,"School of Engineering and Applied Sciences, Center for Nanotechnology (CNT), Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Merits of photocatalytic and antimicrobial applications of gamma-irradiated Co: XNi1- xFe2O4/SiO2/TiO2; X = 0.9 nanocomposite for pyridine removal and pathogenic bacteria/fungi disinfection: Implication for wastewater treatment, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Microbial acetylcholinesterase inhibitors for Alzheimer’s therapy: recent trends on extraction, detection, irradiation-assisted production improvement and nano-structured drug delivery", Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Nanostructured Mg substituted Mn-Zn ferrites: A magnetic recyclable catalyst for outstanding photocatalytic and antimicrobial potentials, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Novel (MnO2/Al) thermite colloid: an opportunity for energetic systems with enhanced performance, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57219567881,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57219567881&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Reliable optoelectronic switchable device implementation by CdS nanowires conjugated bent-core liquid crystal matrix, Elkodous M.A. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Response Surface Methodology Optimization of Mono-dispersed MgO Nanoparticles Fabricated by Ultrasonic-Assisted Sol–Gel Method for Outstanding Antimicrobial and Antibiofilm Activities, Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Soft, Self-Assembly Liquid Crystalline Nanocomposite for Superior Switching", Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Sustainability of one-dimensional nanostructures: Fabrication and industrial, Kodous M.H.A. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Synthesis of CuO-distributed carbon nanofiber: Alternative hybrid for solid propellants, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
The effective antagonistic potential of plant growth-promoting rhizobacteria against Alternaria solani-causing early blight disease in tomato plant, Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Therapeutic and diagnostic potential of nanomaterials for enhanced biomedical applications,Abd Elkodous M. ,"Abd Elkodous, M., Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
"Unveiling the Effect of Zn2+ Substitution in Enrichment of Structural, Magnetic, and Dielectric Properties of Cobalt Ferrite", Abd Elkodous M. ,"Center for Nanotechnology (CNT), School of Engineering and Applied Sciences, Nile University, Sheikh Zayed, Giza, 16453,",57201641040,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=57201641040&zone=,"Abd Elkodous, M.","Abd Elkodous, M. ; Kodous, Mohamed Hamada Abdel ; Abd Elkodous, M. ; Elkodous, M. Abd ; Abd Elkodous, Mohamed"
Effect of wall thinning on the Shakedown Interaction Diagrams of 90-degree back-to-Back Bends Subjected to Simultaneous Steady Internal Pressures and Cyclic In Plane Bending Moments,Abdalla H.F. ,"Associate Professor of Mechanical Design and Solid Mechanics, Program Director, Department of Mechanical Engineering, School of Engineering and Applied Sciences, Nile University,",10043572200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=10043572200&zone=,"Abdalla, Hany Fayek","Abdalla, Hany Fayek ; Abdalla, Hany F. ; Abdalla, H. F."
Load carrying capacities of pressurized 90 degree miter and smooth bends subjected to monotonic in-plane and out-of-plane bending loadings,Abdalla H.F. ,"Department of Mechanical Engineering, School of Engineering and Applied Sciences, Nile University,",10043572200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=10043572200&zone=,"Abdalla, Hany Fayek","Abdalla, Hany Fayek ; Abdalla, Hany F. ; Abdalla, H. F."
Validation of the Nonlinear Superposition Method (NSM) for elastic shakedown limit pressures via comparison with experimental test results of spherical vessels with radial and oblique nozzles,Abdalla H.F. ,"School of Engineering and Applied Sciences, Department of Mechanical Engineering, Nile University,",10043572200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=10043572200&zone=,"Abdalla, Hany Fayek","Abdalla, Hany Fayek ; Abdalla, Hany F. ; Abdalla, H. F."
Counter based CMOS temperature sensor for low frequency applications, Abdallah A. ,"Nano-electronics Integrated Systems Center (NISC), Nile University,",56265392200,https://www.scopus.com/authid/detail.uri?origin=resultslist&authorId=56265392200&zone=,"Abdallah, Ahmed Wahba","Abdallah, Ahmed Wahba ; Abdallah, Ahmed"
