Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Access Type,Source,EID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159,Column160,Column161,Column162,Column163,Column164,Column165,Column166,Column167,Column168,Column169,Column170,Column171,Column172,Column173,Column174,Column175,Column176,Column177,Column178,Column179,Column180,Column181,Column182,Column183,Column184,Column185,Column186,Column187,Column188,Column189,Column190,Column191,Column192,Column193,Column194,Column195,Column196,Column197,Column198,Column199,Column200,Column201,Column202,Column203,Column204,Column205,Column206,Column207,Column208,Column209,Column210,Column211,Column212,Column213,Column214,Column215,Column216,Column217,Column218,Column219,Column220,Column221,Column222,Column223,Column224,Column225,Column226,Column227,Column228,Column229,Column230,Column231,Column232,Column233,Column234,Column235,Column236,Column237,Column238,Column239,Column240,Column241,Column242,Column243,Column244,Column245,Column246,Column247,Column248,Column249,Column250,Column251,Column252,Column253,Column254,Column255,Column256,Column257,Column258,Column259,Column260,Column261,Column262,Column263,Column264,Column265,Column266,Column267,Column268,Column269,Column270,Column271,Column272,Column273,Column274,Column275,Column276,Column277,Column278,Column279,Column280,Column281,Column282,Column283,Column284,Column285,Column286,Column287,Column288,Column289,Column290,Column291,Column292,Column293,Column294,Column295,Column296,Column297,Column298,Column299,Column300,Column301,Column302,Column303,Column304,Column305,Column306,Column307,Column308,Column309,Column310,Column311,Column312,Column313,Column314,Column315,Column316,Column317,Column318,Column319,Column320,Column321,Column322,Column323,Column324,Column325,Column326,Column327,Column328,Column329,Column330,Column331,Column332,Column333,Column334,Column335,Column336,Column337,Column338,Column339,Column340,Column341,Column342,Column343,Column344,Column345,Column346,Column347,Column348,Column349,Column350,Column351,Column352,Column353,Column354,Column355,Column356,Column357,Column358,Column359,Column360,Column361,Column362,Column363,Column364,Column365,Column366,Column367,Column368,Column369
"Amir M., El-Keyi A., Nafie M.",36182225800;8882086900;6701337161;,Constrained interference alignment and the spatial degrees of freedom of mimo cognitive networks,2011,IEEE Transactions on Information Theory,57,5,5752423,2994,3004,,107,10.1109/TIT.2011.2119770,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955519432&doi=10.1109%2fTIT.2011.2119770&partnerID=40&md5=0f8487cb68e8a69d531ba98a6850706b,"Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza, Egypt","Amir, M., Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza, Egypt; El-Keyi, A., Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza, Egypt; Nafie, M., Wireless Intelligent Networks Center (WINC), Nile University, Smart Village, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-79955519432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahmoud M., Abouelhoda M.I., Kandil A., Elbialy A.",57214510366;8983754500;7006581329;26428101800;,Constructing suffix array during decompression,2008,"2008 Cairo International Biomedical Engineering Conference, CIBEC 2008",,,4786040,,,,,10.1109/CIBEC.2008.4786040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-63649095725&doi=10.1109%2fCIBEC.2008.4786040&partnerID=40&md5=67dc0fcfca4052b9d4f06a47fd2af718,"Faculty of Engineering, Cairo University, Giza, Egypt; Nile University, Giza, Egypt","Mahmoud, M., Faculty of Engineering, Cairo University, Giza, Egypt; Abouelhoda, M.I., Faculty of Engineering, Cairo University, Giza, Egypt, Nile University, Giza, Egypt; Kandil, A., Faculty of Engineering, Cairo University, Giza, Egypt; Elbialy, A., Faculty of Engineering, Cairo University, Giza, Egypt",Conference Paper,Final,,Scopus,2-s2.0-63649095725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naguib A.M., Ghanem A.M., Fahmy A.S.",55949068600;57193275509;7004440552;,Content based image retrieval of diabetic macular edema images,2013,Proceedings of CBMS 2013 - 26th IEEE International Symposium on Computer-Based Medical Systems,,,6627877,560,562,,6,10.1109/CBMS.2013.6627877,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889041640&doi=10.1109%2fCBMS.2013.6627877&partnerID=40&md5=cbcbaa6ac601d12ae58ffcf90e7565bc,"Systems and Biomedical Eng. Dept., Cairo University, Egypt; Electrical Eng. Dept., Suez Canal University, Egypt; School of Communication and Information Technology, Nile University, Egypt","Naguib, A.M., Systems and Biomedical Eng. Dept., Cairo University, Egypt; Ghanem, A.M., Electrical Eng. Dept., Suez Canal University, Egypt; Fahmy, A.S., School of Communication and Information Technology, Nile University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84889041640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naguib A.M., Ghanem A.M., Fahmy A.S.",55949068600;57193275509;7004440552;,Content based image retrieval of diabetic macular edema images,2013,Proceedings - IEEE Symposium on Computer-Based Medical Systems,,,6627877,560,562,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897083005&partnerID=40&md5=4a76e0f78051719c740b132f326bf899,"Systems and Biomedical Eng. Dept., Cairo University, Egypt; Electrical Eng. Dept., Suez Canal University, Egypt; School of Communication and Information Technology, Nile University, Egypt","Naguib, A.M., Systems and Biomedical Eng. Dept., Cairo University, Egypt; Ghanem, A.M., Electrical Eng. Dept., Suez Canal University, Egypt; Fahmy, A.S., Systems and Biomedical Eng. Dept., Cairo University, Egypt, School of Communication and Information Technology, Nile University, Egypt",Conference Paper,Final,,Scopus,2-s2.0-84897083005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gabr B., Hosny S., Nafie M.",57203915211;57041007400;6701337161;,Content Delivery in Mobility-Aware D2D Caching Networks,2019,"2018 IEEE Globecom Workshops, GC Wkshps 2018 - Proceedings",,,8644159,,,,3,10.1109/GLOCOMW.2018.8644159,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063540731&doi=10.1109%2fGLOCOMW.2018.8644159&partnerID=40&md5=064db894f8ab0dac45fc1f00e04490af,"Nile University, Wireless Intelligent Networks Center (WINC), Cairo, Egypt","Gabr, B., Nile University, Wireless Intelligent Networks Center (WINC), Cairo, Egypt; Hosny, S., Nile University, Wireless Intelligent Networks Center (WINC), Cairo, Egypt; Nafie, M., Nile University, Wireless Intelligent Networks Center (WINC), Cairo, Egypt",Conference Paper,Final,,Scopus,2-s2.0-85063540731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shukla M.K., Sharma B.B., Azar A.T.",7102610469;24923956700;57208175025;,Control and synchronization of a fractional order hyperchaotic system via backstepping and active backstepping approach,2018,Mathematical Techniques of Fractional Order Systems,,,,559,595,,3,10.1016/B978-0-12-813592-1.00019-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064059970&doi=10.1016%2fB978-0-12-813592-1.00019-2&partnerID=40&md5=4bdfb768fd1636a16e911232d0aa8092,"National Institute of Technology, Hamirpur, Himachal Pradesh, India; Lovely Professional University, Punjab, India; Faculty of Computers and Information, Benha University, Benha, Egypt; School of Engineering and Applied Sciences, Nile University, Giza, Egypt","Shukla, M.K., National Institute of Technology, Hamirpur, Himachal Pradesh, India, Lovely Professional University, Punjab, India; Sharma, B.B., National Institute of Technology, Hamirpur, Himachal Pradesh, India; Azar, A.T., Faculty of Computers and Information, Benha University, Benha, Egypt, School of Engineering and Applied Sciences, Nile University, Giza, Egypt",Book Chapter,Final,,Scopus,2-s2.0-85064059970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Radwan A.G., Sayed W.S., Abd-El-Hafiz S.K.",7103379659;56902453700;6603636787;,Control and synchronization of fractional-order chaotic systems,2017,Fractional Order Control and Synchronization of Chaotic Systems,,,,325,355,,4,10.1007/978-3-319-50249-6_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044689567&doi=10.1007%2f978-3-319-50249-6_11&partnerID=40&md5=a98ac36e346d7666315537d4e9b49d99,"Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt","Radwan, A.G., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt, Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Sayed, W.S., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Abd-El-Hafiz, S.K., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt",Book Chapter,Final,,Scopus,2-s2.0-85044689567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Radwan A.G., Sayed W.S., Abd-El-Hafiz S.K.",7103379659;56902453700;6603636787;,Control and synchronization of fractional-order chaotic systems,2017,Studies in Computational Intelligence,688,,,325,355,,2,10.1007/978-3-319-50249-6_11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018903055&doi=10.1007%2f978-3-319-50249-6_11&partnerID=40&md5=7a0557601849abe876990e457dfaff11,"Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt","Radwan, A.G., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt, Nanoelectronics Integrated Systems Center, Nile University, Cairo, 12588, Egypt; Sayed, W.S., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt; Abd-El-Hafiz, S.K., Faculty of Engineering, Engineering Mathematics and Physics Department, Cairo University, Giza, 12613, Egypt",Article,Final,,Scopus,2-s2.0-85018903055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azar A.T., Zhu Q., Khamis A., Zhao D.",57208175025;56493343500;6603919018;23112052400;,Control design approaches for parallel robot manipulators: A review,2017,"International Journal of Modelling, Identification and Control",28,3,,199,211,,8,10.1504/IJMIC.2017.086563,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029506507&doi=10.1504%2fIJMIC.2017.086563&partnerID=40&md5=8890bf45df72084b895fa364100e666c,"Faculty of Computers and Information, Benha University, Egypt; Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt; Department of Engineering Design and Mathematics, University of the West of England, Bristol, United Kingdom; Suez University, Egypt; University of Waterloo, Canada; College of Chemical Engineering, China University of Petroleum, Qingdao, China","Azar, A.T., Faculty of Computers and Information, Benha University, Egypt, Nanoelectronics Integrated Systems Center (NISC), Nile University, Egypt; Zhu, Q., Department of Engineering Design and Mathematics, University of the West of England, Bristol, United Kingdom; Khamis, A., Suez University, Egypt, University of Waterloo, Canada; Zhao, D., College of Chemical Engineering, China University of Petroleum, Qingdao, China",Review,Final,,Scopus,2-s2.0-85029506507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azar A.T., Kumar J., Kumar V., Rana K.P.S.",57208175025;57214276787;57204134292;16304857800;,Control of a two link planar electrically-driven rigid robotic manipulator using fractional order SOFC,2018,Advances in Intelligent Systems and Computing,639,,,57,68,,23,10.1007/978-3-319-64861-3_6,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029521906&doi=10.1007%2f978-3-319-64861-3_6&partnerID=40&md5=85b38cd047079016983f6798d46de38f,"Faculty of Computers and Information, Benha University, Banha, Egypt; Nile University, 6th of October City, Egypt; Division of instrumentation and control Engineering, Netaji Subhas Institute of Technology, Dwarka, New Delhi  110078, India","Azar, A.T., Faculty of Computers and Information, Benha University, Banha, Egypt, Nile University, 6th of October City, Egypt; Kumar, J., Division of instrumentation and control Engineering, Netaji Subhas Institute of Technology, Dwarka, New Delhi  110078, India; Kumar, V., Division of instrumentation and control Engineering, Netaji Subhas Institute of Technology, Dwarka, New Delhi  110078, India; Rana, K.P.S., Division of instrumentation and control Engineering, Netaji Subhas Institute of Technology, Dwarka, New Delhi  110078, India",Conference Paper,Final,,Scopus,2-s2.0-85029521906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ouannas A., Azar A.T., Ziar T.",56135753700;57208175025;55331769500;,Control of continuous-time chaotic (hyperchaotic) systems: F-M synchronisation,2019,International Journal of Automation and Control,13,2,,226,242,,,10.1504/IJAAC.2019.098215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062783898&doi=10.1504%2fIJAAC.2019.098215&partnerID=40&md5=edc3c28038c4145e6083b0fe2e6c18c3,"Laboratory of Mathematics Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, 12002, Algeria; Faculty of Computers and Information, Benha University, Benha, Egypt; School of Engineering and Applied Sciences, Nile University Campus, Sheikh Zayed District, Juhayna Square, 6th of October City, Giza, 12588, Egypt; Department of Material Sciences, University of Tebessa, Tebessa, 12002, Algeria","Ouannas, A., Laboratory of Mathematics Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, 12002, Algeria; Azar, A.T., Faculty of Computers and Information, Benha University, Benha, Egypt, School of Engineering and Applied Sciences, Nile University Campus, Sheikh Zayed District, Juhayna Square, 6th of October City, Giza, 12588, Egypt; Ziar, T., Department of Material Sciences, University of Tebessa, Tebessa, 12002, Algeria",Article,Final,,Scopus,2-s2.0-85062783898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Azar A.T., Ouannas A., Singh S.",57208175025;56135753700;57195676876;,Control of new type of fractional chaos synchronization,2018,Advances in Intelligent Systems and Computing,639,,,47,56,,30,10.1007/978-3-319-64861-3_5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029499405&doi=10.1007%2f978-3-319-64861-3_5&partnerID=40&md5=39863cb444e489e6f69d4bd9876b64bb,"Faculty of Computers and Information, Benha University, Banha, Egypt; Nile University, 6th of October City, Egypt; Laboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, 12002, Algeria; Faculty of Natural Sciences, Jamia Millia Islamia, New Delhi, India","Azar, A.T., Faculty of Computers and Information, Benha University, Banha, Egypt, Nile University, 6th of October City, Egypt; Ouannas, A., Laboratory of Mathematics, Informatics and Systems (LAMIS), University of Larbi Tebessi, Tebessa, 12002, Algeria; Singh, S., Faculty of Natural Sciences, Jamia Millia Islamia, New Delhi, India",Conference Paper,Final,,Scopus,2-s2.0-85029499405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Smida M.B., Sakly A., Vaidyanathan S., Azar A.T.",55701677100;6602258269;57191607340;57208175025;,Control-based maximum power point tracking for a grid- connected hybrid renewable energy system optimized by particle swarm optimization,2018,Advances in System Dynamics and Control,,,,58,89,,9,10.4018/978-1-5225-4077-9.ch003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049479289&doi=10.4018%2f978-1-5225-4077-9.ch003&partnerID=40&md5=49f1e6a1dcc3da88cc97c1ef7d0d78e6,"National Engineering School of Monastir, Tunisia; Research and Development Centre, Vel Tech University, Avadi, Chennai, India; Faculty of computers and information, Benha University, Egypt; Nile University, Egypt","Smida, M.B., National Engineering School of Monastir, Tunisia; Sakly, A., National Engineering School of Monastir, Tunisia; Vaidyanathan, S., Research and Development Centre, Vel Tech University, Avadi, Chennai, India; Azar, A.T., Faculty of computers and information, Benha University, Egypt, Nile University, Egypt",Book Chapter,Final,,Scopus,2-s2.0-85049479289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
